Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,5' UTR start,5' UTR end,3' UTR start,3' UTR end,Gene start (bp),Gene end (bp),Transcript start (bp),Transcript end (bp),Gene type,Strand,Chromosome/scaffold name
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,68817865,68818060,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,,,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,68842576,68842589,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000100032,ENSMUSG00000100032.2,ENSMUST00000191123,ENSMUST00000191123.2,68843954,68843997,,,68817865,68843997,68817865,68843997,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000185688,ENSMUST00000185688.7,,,,,70015477,70026168,70015477,70026112,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000185688,ENSMUST00000185688.7,,,,,70015477,70026168,70015477,70026112,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000185688,ENSMUST00000185688.7,,,,,70015477,70026168,70015477,70026112,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000185688,ENSMUST00000185688.7,,,,,70015477,70026168,70015477,70026112,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000185688,ENSMUST00000185688.7,,,,,70015477,70026168,70015477,70026112,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000185688,ENSMUST00000185688.7,,,,,70015477,70026168,70015477,70026112,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000186763,ENSMUST00000186763.7,,,,,70015477,70026168,70021804,70026024,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000186763,ENSMUST00000186763.7,,,,,70015477,70026168,70021804,70026024,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000186763,ENSMUST00000186763.7,,,,,70015477,70026168,70021804,70026024,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000188634,ENSMUST00000188634.7,,,,,70015477,70026168,70021804,70026024,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000188634,ENSMUST00000188634.7,,,,,70015477,70026168,70021804,70026024,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000188634,ENSMUST00000188634.7,,,,,70015477,70026168,70021804,70026024,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000189328,ENSMUST00000189328.7,,,,,70015477,70026168,70021806,70026030,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000189328,ENSMUST00000189328.7,,,,,70015477,70026168,70021806,70026030,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000189328,ENSMUST00000189328.7,,,,,70015477,70026168,70021806,70026030,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000189328,ENSMUST00000189328.7,,,,,70015477,70026168,70021806,70026030,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000189328,ENSMUST00000189328.7,,,,,70015477,70026168,70021806,70026030,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000187271,ENSMUST00000187271.7,,,70021832,70021873,70015477,70026168,70021832,70024067,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000187271,ENSMUST00000187271.7,,,70022389,70022572,70015477,70026168,70021832,70024067,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000187271,ENSMUST00000187271.7,,,70023970,70023972,70015477,70026168,70021832,70024067,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000186184,ENSMUST00000186184.7,,,,,70015477,70026168,70021832,70026055,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000186184,ENSMUST00000186184.7,,,,,70015477,70026168,70021832,70026055,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000190418,ENSMUST00000190418.2,,,70021832,70021873,70015477,70026168,70021832,70026056,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000190418,ENSMUST00000190418.2,,,70022389,70022534,70015477,70026168,70021832,70026056,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000190418,ENSMUST00000190418.2,70024504,70024646,,,70015477,70026168,70021832,70026056,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000190418,ENSMUST00000190418.2,70025977,70026056,,,70015477,70026168,70021832,70026056,protein_coding,-1,Y
ENSMUSG00000099550,ENSMUSG00000099550.7,ENSMUST00000186006,ENSMUST00000186006.2,,,,,70015477,70026168,70022430,70026012,protein_coding,-1,Y
