Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,5' UTR start,5' UTR end,3' UTR start,3' UTR end,Gene start (bp),Gene end (bp),Transcript start (bp),Transcript end (bp),Gene type,Strand,Chromosome/scaffold name
ENSMUSG00000095019,ENSMUSG00000095019.2,ENSMUST00000178569,ENSMUST00000178569.2,,,,,81607,82689,81607,82689,protein_coding,1,JH584303.1
ENSMUSG00000094915,ENSMUSG00000094915.2,ENSMUST00000179715,ENSMUST00000179715.2,,,,,31967,34932,31967,34932,protein_coding,-1,GL456212.1
ENSMUSG00000094915,ENSMUSG00000094915.2,ENSMUST00000179715,ENSMUST00000179715.2,,,,,31967,34932,31967,34932,protein_coding,-1,GL456212.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,,,52190,52367,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,,,53536,54479,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,,,54721,54867,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,,,55112,55479,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,,,,,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,58617,58835,,,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000179505,ENSMUST00000179505.8,59592,59667,,,52190,59690,52190,59667,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000178343,ENSMUST00000178343.2,,,52691,54867,52190,59690,52691,59690,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000178343,ENSMUST00000178343.2,,,55112,55479,52190,59690,52691,59690,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000178343,ENSMUST00000178343.2,,,,,52190,59690,52691,59690,protein_coding,-1,JH584304.1
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000178343,ENSMUST00000178343.2,58617,59690,,,52190,59690,52691,59690,protein_coding,-1,JH584304.1
ENSMUSG00000095666,ENSMUSG00000095666.2,ENSMUST00000178466,ENSMUST00000178466.2,,,,,41338,44417,41338,44417,protein_coding,-1,JH584296.1
ENSMUSG00000095666,ENSMUSG00000095666.2,ENSMUST00000178466,ENSMUST00000178466.2,,,,,41338,44417,41338,44417,protein_coding,-1,JH584296.1
ENSMUSG00000095666,ENSMUSG00000095666.2,ENSMUST00000178466,ENSMUST00000178466.2,,,,,41338,44417,41338,44417,protein_coding,-1,JH584296.1
ENSMUSG00000094741,ENSMUSG00000094741.2,ENSMUST00000178291,ENSMUST00000178291.2,,,,,6366,8939,6366,8939,protein_coding,1,GL456354.1
ENSMUSG00000094741,ENSMUSG00000094741.2,ENSMUST00000178291,ENSMUST00000178291.2,,,,,6366,8939,6366,8939,protein_coding,1,GL456354.1
ENSMUSG00000094741,ENSMUSG00000094741.2,ENSMUST00000178291,ENSMUST00000178291.2,,,,,6366,8939,6366,8939,protein_coding,1,GL456354.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,,,,,66,1479,66,1479,protein_coding,-1,JH584295.1
ENSMUSG00000094303,ENSMUSG00000094303.2,ENSMUST00000110576,ENSMUST00000110576.4,,,,,19740,22248,19740,22248,protein_coding,-1,JH584297.1
ENSMUSG00000094303,ENSMUSG00000094303.2,ENSMUST00000110576,ENSMUST00000110576.4,,,,,19740,22248,19740,22248,protein_coding,-1,JH584297.1
ENSMUSG00000094303,ENSMUSG00000094303.2,ENSMUST00000110576,ENSMUST00000110576.4,,,,,19740,22248,19740,22248,protein_coding,-1,JH584297.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,,,,,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,,,,,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,,,17591,18168,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,,,,,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,,,,,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,27529,27575,,,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,30050,30203,,,17591,30203,17591,30203,protein_coding,-1,GL456221.1
ENSMUSG00000095250,ENSMUSG00000095250.2,ENSMUST00000179211,ENSMUST00000179211.2,,,,,30483,32396,30483,32396,protein_coding,-1,GL456211.1
ENSMUSG00000095250,ENSMUSG00000095250.2,ENSMUST00000179211,ENSMUST00000179211.2,,,,,30483,32396,30483,32396,protein_coding,-1,GL456211.1
ENSMUSG00000094836,ENSMUSG00000094836.2,ENSMUST00000097490,ENSMUST00000097490.5,,,,,4975,7356,4975,7356,protein_coding,1,JH584299.1
ENSMUSG00000094836,ENSMUSG00000094836.2,ENSMUST00000097490,ENSMUST00000097490.5,,,,,4975,7356,4975,7356,protein_coding,1,JH584299.1
ENSMUSG00000094836,ENSMUSG00000094836.2,ENSMUST00000097490,ENSMUST00000097490.5,,,,,4975,7356,4975,7356,protein_coding,1,JH584299.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,147689,147689,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,,,128555,128946,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,150277,150452,,,128555,150452,128555,150452,protein_coding,-1,GL456212.1
ENSMUSG00000074720,ENSMUSG00000074720.2,ENSMUST00000099245,ENSMUST00000099245.2,,,,,25923,27230,25923,27230,protein_coding,-1,GL456354.1
ENSMUSG00000074720,ENSMUSG00000074720.2,ENSMUST00000099245,ENSMUST00000099245.2,,,,,25923,27230,25923,27230,protein_coding,-1,GL456354.1
ENSMUSG00000095787,ENSMUSG00000095787.2,ENSMUST00000179124,ENSMUST00000179124.2,,,,,54469,54840,54469,54840,protein_coding,-1,GL456211.1
ENSMUSG00000096236,ENSMUSG00000096236.2,ENSMUST00000177853,ENSMUST00000177853.2,,,,,31101,33667,31101,33667,protein_coding,1,JH584297.1
ENSMUSG00000096236,ENSMUSG00000096236.2,ENSMUST00000177853,ENSMUST00000177853.2,,,,,31101,33667,31101,33667,protein_coding,1,JH584297.1
ENSMUSG00000096236,ENSMUSG00000096236.2,ENSMUST00000177853,ENSMUST00000177853.2,,,,,31101,33667,31101,33667,protein_coding,1,JH584297.1
ENSMUSG00000096100,ENSMUSG00000096100.2,ENSMUST00000179890,ENSMUST00000179890.2,,,,,66955,67326,66955,67326,protein_coding,1,GL456211.1
ENSMUSG00000096680,ENSMUSG00000096680.2,ENSMUST00000177991,ENSMUST00000177991.2,,,,,130715,133448,130715,133448,protein_coding,-1,JH584296.1
ENSMUSG00000096680,ENSMUSG00000096680.2,ENSMUST00000177991,ENSMUST00000177991.2,,,,,130715,133448,130715,133448,protein_coding,-1,JH584296.1
ENSMUSG00000096680,ENSMUSG00000096680.2,ENSMUST00000177991,ENSMUST00000177991.2,,,,,130715,133448,130715,133448,protein_coding,-1,JH584296.1
ENSMUSG00000094874,ENSMUSG00000094874.2,ENSMUST00000178199,ENSMUST00000178199.2,,,,,30394,32306,30394,32306,protein_coding,-1,GL456221.1
