Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,5' UTR start,5' UTR end,3' UTR start,3' UTR end,CDS Length,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Transcript start (bp),Transcript end (bp),Gene type,Strand
ENSG00000278704,ENSG00000278704.1,ENST00000618686,ENST00000618686.1,58309,58376,56140,58080,228,56140,58376,GL000009.2,56140,58376,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,24492,24650,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,22933,23142,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,21128,21159,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,,,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,,,4612,6126,1812,4612,29626,KI270711.1,4612,24650,protein_coding,-1
